# x/sigma rho.sigma3
0.10016 1.55718
0.31018 0.80996
0.42003 0.63012
0.51373 0.55408
0.60743 0.54378
0.73344 0.56465
0.85945 0.72393
0.94669 0.98006
1.04039 1.16353
1.13409 1.15323
1.24071 0.99761
1.34733 0.85930
1.45073 0.76942
1.55412 0.70377
1.65105 0.72461
1.75444 0.80429
1.83199 0.88048
1.93538 0.93939
2.02908 0.97061
2.14863 0.97072
2.25525 0.92237
2.36187 0.83941
2.46527 0.81182
2.55897 0.80844
2.64943 0.81890
2.75929 0.86398
2.86591 0.90559
2.96931 0.90914
3.05654 0.90576
3.15994 0.86433
3.24071 0.86093
3.35380 0.86103
3.45396 0.81614
3.56058 0.81623
3.66721 0.86130
3.75121 0.86138
3.85784 0.86147
3.96123 0.86156
