# x rho
0.52293 7.53535
0.57696 3.91919
0.62584 2.08081
0.67431 1.17172
0.72259 0.70707
0.77516 0.44444
0.82766 0.30303
0.87577 0.24242
0.92386 0.20875
0.97487 0.17508
1.02586 0.17508
1.07685 0.17508
1.12418 0.20875
1.17514 0.27609
1.22607 0.41077
1.27332 0.64646
1.32413 1.06734
1.37484 1.69024
1.42561 2.21212
1.47657 2.27946
1.52406 1.94276
1.57890 1.47138
1.62277 1.10101
1.67753 0.81481
1.72132 0.61279
1.77600 0.51178
1.82703 0.42761
1.87803 0.39394
1.92538 0.39394
1.97636 0.42761
2.02370 0.44444
2.07465 0.52862
2.12558 0.66330
2.17285 0.84848
2.22010 1.08418
2.27462 1.33670
2.32554 1.48822
2.37286 1.57239
2.42024 1.48822
2.47495 1.31987
2.52238 1.11785
2.57345 0.94949
2.62086 0.81481
2.66826 0.69697
2.72292 0.62963
2.76664 0.59596
2.82127 0.59596
2.87226 0.59596
2.92324 0.62963
2.97056 0.69697
