Temperature (K)	Pressure (MPa)	Liquid Density (kg/m3)	Vapor Density (kg/m3)
90.694	0.011696	451.48	0.25074
92.0	0.013801	449.73	0.29197
94.0	0.017613	447.05	0.3653
96.0	0.022233	444.35	0.45238
98.0	0.027778	441.63	0.55488
100.0	0.034376	438.89	0.67457
102.0	0.04216	436.12	0.81329
104.0	0.051275	433.32	0.97298
106.0	0.061868	430.5	1.1556
108.0	0.074099	427.65	1.3633
110.0	0.08813	424.78	1.5982
112.0	0.10413	421.87	1.8625
114.0	0.12228	418.93	2.1586
116.0	0.14275	415.96	2.4888
118.0	0.16574	412.95	2.8557
120.0	0.19143	409.9	3.2619
122.0	0.22002	406.82	3.7099
124.0	0.2517	403.69	4.2028
126.0	0.28667	400.52	4.7434
128.0	0.32514	397.3	5.3348
130.0	0.36732	394.04	5.9804
132.0	0.41341	390.72	6.6837
134.0	0.46363	387.35	7.4483
136.0	0.51819	383.92	8.2783
138.0	0.5773	380.42	9.1779
140.0	0.64118	376.87	10.152
142.0	0.71006	373.24	11.205
144.0	0.78415	369.53	12.343
146.0	0.86368	365.74	13.571
148.0	0.94887	361.87	14.897
150.0	1.04	357.9	16.328
152.0	1.1372	353.83	17.871
154.0	1.2408	349.64	19.537
156.0	1.3509	345.34	21.336
158.0	1.468	340.9	23.279
160.0	1.5921	336.31	25.382
162.0	1.7235	331.57	27.66
164.0	1.8626	326.64	30.132
166.0	2.0096	321.5	32.822
168.0	2.1647	316.14	35.758
170.0	2.3283	310.5	38.974
172.0	2.5007	304.56	42.514
174.0	2.6822	298.25	46.434
176.0	2.8732	291.5	50.808
178.0	3.074	284.21	55.74
180.0	3.2852	276.23	61.375
182.0	3.5071	267.33	67.94
184.0	3.7405	257.14	75.81
186.0	3.986	244.93	85.704
188.0	4.2448	228.93	99.377
190.0	4.5186	200.78	125.18
190.564	4.5992	162.66	162.66
