Pressure (bar)	Absolute adsorption (molecules/uc)	Absolute adsorption (mg/g)	Absolute adsorption (%w.t.)	Absolute adsorption (mol/kg)	Absolute adsorption (cm^3 STP/cm^3)	Excess adsorption (molecules/uc)	Excess adsorption (mg/g)	Excess adsorption (%w.t.)	Excess adsorption (mol/kg)	Excess adsorption (cm^3 STP/cm^3)
0.001	0.00036762562815633864	0.0009576147276222199	9.576138105971316e-05	5.96905022515876e-05	0.0007906675120041233	1.165389029440751e-05	3.0356798126360058e-05	3.0356769056270928e-06	1.8922145562775078e-06	2.5064499693502426e-05
0.01	0.0010192537494670777	0.002655017297267317	0.0002655010248169184	0.00016549381644750467	0.002192150830815556	-0.0025405153448083053	-0.006617696709936865	-0.0006617679139884281	-0.00041249745745414597	-0.005463990519272632
0.1	0.004027879477921867	0.010492077846936615	0.0010491967764394063	0.0006539972478299953	0.0086629255458398	-0.03157498330452068	-0.08224853416360865	-0.008224767121463953	-0.005126755230543456	-0.06790961124271838
0.5	0.017173717608683976	0.044735197033398844	0.004473319588506699	0.002788455839518721	0.036936218624412674	-0.16095555625812955	-0.4192673180550512	-0.04192485628879844	-0.026133972327809712	-0.3461737144063707
1.0	0.0611716051075396	0.1593437058701439	0.0159318319498702	0.00993228859129489	0.13156427928661293	-0.2953744814515376	-0.7694103238131158	-0.0769287742653321	-0.04795925474120276	-0.6352740083166276
1.2	3.263303988612571	8.500462755754286	0.8428813936809257	0.5298549370912103	7.018521691562177	2.835310614096152	7.385598264894147	0.7323346431307334	0.460362666888621	6.098018792239729
1.4	3.749099742995109	9.765894579281097	0.9671444274071127	0.6087324427651373	8.063342539298239	3.2496130222256854	8.464799651652395	0.8382932813530262	0.5276319673161126	6.9890759687915995
1.6	4.366374455376668	11.373811194153145	1.1245902423282859	0.7089578753445831	9.390940572953914	3.79534831511127	9.8863658152285	0.977518470994956	0.6162417138458206	8.162811239650319
1.8	5.009156893476569	13.048171962928537	1.2880110071810111	0.8133249369150743	10.77339911818967	4.36654524549786	11.374256079174371	1.1227754408889652	0.7089856061319187	9.391307898270364
2.0	5.638698240715879	14.688041492120126	1.447542583681291	0.9155420739338108	12.127379506395222	4.924454981805529	12.827535010927328	1.264185097920753	0.7995720881959315	10.591227243778201
3.0	8.830260513204971	23.001626841396323	2.2484447959692675	1.4337484785511636	18.991603347509024	7.7571671245198885	20.206364611522993	1.975203565796063	1.2595128474426849	16.68365739707358
4.0	11.96650346491078	31.17111288897312	3.0228846114242667	1.9429728161175044	25.736849657190014	10.533405101334465	27.43808669606481	2.660866499566022	1.710284030172961	22.654626246192684
5.0	15.174399953844118	39.52724664900518	3.8024252636402025	2.4638313687592834	32.63620416735232	13.380139867981088	34.853443323529596	3.3528167189347178	2.1725016096446796	28.777215431740238
6.0	18.41922597560793	47.979576815963554	4.578293115380939	2.9906860821519388	39.61498453797212	16.262645504778312	42.36197819933323	4.042252266789399	2.6405272205530905	34.97673849441175
7.0	21.695013878214077	56.512558468614586	5.348971767124848	3.5225680027809383	46.66035589523056	19.174952433135523	49.948141383704815	4.727642940288684	3.113391596565781	41.24035641676541
8.0	24.991421914021476	65.09925276186165	6.112036281412804	4.0577979655838465	53.750075818439605	22.106716969287366	57.5849889882075	5.40653735686007	3.589415258256405	47.54582261401136
9.0	28.283172836881143	73.67381590971138	6.861843403276851	4.592271763991235	60.829779497879215	25.032659923346046	65.20667216367288	6.073229243131353	4.064493683455269	53.838768095950776
10.0	31.55877910152198	82.20632442018365	7.596178525774882	5.1241241924941505	67.87476019891808	27.94129180070758	72.78326234037394	6.7254515796116054	4.536761350144857	60.09448193544218
11.0	34.75478992010911	90.53149762659962	8.301594023063952	5.643052897001783	74.74855171052593	30.76915986074581	80.1494737648763	7.349578984129412	4.995915587164266	66.17649372150704
12.0	37.89302508124256	98.70617310859637	8.983855331341644	6.152600704892874	81.49808274670829	33.538081938064096	87.36213892692179	7.9513650751361435	5.445498904626428	72.13172796561014
13.0	40.94114246675059	106.64610405008804	9.636875208775967	6.647516303066013	88.05379378780916	36.21571396166112	94.33700592356912	8.524586638701917	5.8802596723536205	77.89062094806481
14.0	43.86577138068115	114.26436432986009	10.254690716828305	7.122381370682546	94.34391310976625	38.76868328641633	100.98714355628518	9.063122432082872	6.294779253025319	83.38139675265217
15.0	46.66360432241014	121.55233835893644	10.837865893694511	7.57665887670239	100.36132713537187	41.193680468815685	107.30393117513	9.567447501570713	6.688520300139	88.59693762351145
16.0	49.370960436721816	128.60463256645664	11.39501193380791	8.016245874615512	106.18414893848522	43.52702271977526	113.3819701717797	10.046208113991888	7.067379553187041	93.61535247525225
17.0	51.96841290960561	135.37064274590608	11.923035319859137	8.437988078657739	111.77059647366796	45.74928130330883	119.17065133323464	10.496189248386688	7.42820241433863	98.39485512876439
18.0	54.453300533662826	141.84343681420054	12.422319228803445	8.841453394888772	117.11494617305189	47.857793104935006	124.6630376087198	10.917699711664133	7.770556480004975	102.92971791453876
19.0	56.864747281793186	148.1249273959842	12.90146427984456	9.232994290094384	122.30134356932871	49.891680208495835	129.9610367021412	11.319415997429878	8.100793910250028	107.30408230239321
20.0	59.16801383709673	154.12462329874208	13.354244436638048	9.6069702236952	127.25507338924676	51.81620142932425	134.9741525557047	11.694937429713516	8.41327386122949	111.44322900199282
21.0	61.41265357099289	159.9716043108245	13.790993134342164	9.971427059204917	132.08271210052433	53.680908295764205	139.8314601567999	12.05473130869252	8.716041897201265	115.45373051707786
22.0	63.54183914517244	165.51784295011765	14.201227716185343	10.317137876339691	136.66203881660326	55.42897165466095	144.3849272958874	12.388049498274976	8.999870803209337	119.21336205782747
23.0	65.60866798344767	170.90165077911098	14.595730620534528	10.652723978003552	141.10725234399774	57.11348714688864	148.7728608911454	12.705837487901125	9.273381592666297	122.83631859611772
24.0	67.60452284281328	176.10058105257954	14.973258570706093	10.97678620286602	145.39981922484873	58.72583578222957	152.9728096460985	13.006779531491414	9.535174820550926	126.30406291628822
25.0	69.52612579161621	181.1060952046925	15.33360093051639	11.288792320930781	149.53268947714702	60.26273792150488	156.97623054704354	13.290612179919252	9.784717979619993	129.60954136388395
26.0	71.37892174467703	185.93237649750637	15.678160085875465	11.589626410116962	153.51757370245167	61.729636815801044	160.79730252223612	13.558724401903048	10.022894877656057	132.76446096220292
27.0	73.17510156636503	190.6111804735306	16.0095238142918	11.881267872189156	157.38069129261626	63.13872171379574	164.46777690552895	13.813726899500198	10.251684654087699	135.79503762816447
28.0	74.90204775429936	195.10964025630093	16.325668682118412	12.16166803317964	161.0949052679226	64.47737354985708	167.95478274840153	14.053504138112574	10.469038381125822	138.67413101990223
29.0	76.57327755240998	199.4629664265625	16.62935597093107	12.433021655959763	164.68928771913008	65.75910806165115	171.29352670798673	14.280851639655372	10.677150577073286	141.43080998859227
30.0	78.18250544226943	203.65478606426876	16.91970060038416	12.694308175794351	168.15032012403557	66.97763828617039	174.46763210130328	14.494823110518306	10.875000442641857	144.05155290511368
31.0	79.73634642512596	207.7023303473719	17.198139403078773	12.946601654763567	171.49222963705446	68.13957784661426	177.49432651667402	14.69686048097806	11.063661816161195	146.55058396005586
32.0	81.2319365349219	211.59813903407658	17.46438296800036	13.18943707748405	174.70885660895712	69.24206147040734	180.3661463090025	14.886631177297446	11.242669470111732	148.92174069420787
33.0	82.68442353313624	215.38166998143026	17.72131959047244	13.425273950098502	177.83277995145073	70.30023568919466	183.12254613178624	15.067081448956205	11.414482710950958	151.19759937422262
34.0	84.08520707331856	219.03052045743385	17.967599398187666	13.65271585473003	180.8455025467897	71.30549900868229	185.74112026304988	15.236789985647912	11.577704934429342	153.35966041364034
35.0	85.433678879492	222.54310598595387	18.203293192388323	13.871664027049423	183.74571615088982	72.2572420925014	188.22028146448326	15.395799178196485	11.732237204044337	155.40661328774837
36.0	86.7386336084885	225.94233545108756	18.430094868038935	14.08354643464985	186.55233579280141	73.16425863015951	190.5829361004352	15.5458320174831	11.879507330326948	157.3573709451328
37.0	88.00054436384558	229.22944122316096	18.648222499052995	14.288439894231812	189.26637899570107	74.0270208567088	192.83031427894562	15.687088822658467	12.019591988963763	159.21294904108308
38.0	89.21933511106616	232.4042252426575	18.857791987600304	14.486332060254162	191.88768222907828	74.84545197393257	194.96221595111223	15.819664681263538	12.152478710410286	160.97318240252565
39.0	90.39108584941054	235.45647644116102	19.05825748871492	14.676586451484201	194.40781458661283	75.61563132821934	196.96842834787674	15.942967810186342	12.277530907428579	162.62963871898216
40.0	91.52851123645033	238.41931477118487	19.251905386766044	14.861267516747796	196.85412200367523	76.35027304135413	198.8820700261014	16.059348207343454	12.396812941850115	164.209662773485
41.0	92.63081713410463	241.29067161111033	19.438692091186955	15.040246313726255	199.22489649493338	77.04858256294624	200.70107129015648	16.168740801834936	12.510195804410428	165.71154569393042
42.0	93.69776699060469	244.06993077577434	19.61866650241902	15.213484434069336	201.519629298799	77.71032305893935	202.42481521955833	16.271176580349525	12.617641040924912	167.13477811160274
43.0	94.72380183938431	246.74261191384548	19.790982481546585	15.380079281546188	203.7263645179473	78.32993541720037	204.03882108379358	16.36575337475458	12.718246031527372	168.46740381610044
44.0	95.72228685537922	249.3435294870355	19.9579638107553	15.542200927945863	205.87384718211663	78.92078481066855	205.57790333937334	16.454873978799167	12.814180847682687	169.73816783286793
45.0	96.69171824520221	251.86876631823645	20.119422506161406	15.699605205898925	207.95884302120996	79.4813675945303	207.03814519620374	16.53832660152596	12.905201346144972	170.94383621135165
46.0	97.63154687081864	254.3168919776056	20.275330229878314	15.852202953163724	209.98017098154025	80.01113493704243	208.41811702228975	16.616065553712627	12.991218414404399	172.0832285566181
47.0	98.54294704279489	256.6909653843452	20.425941815045917	16.000184839764707	211.9403567009922	80.51126162007434	209.72087896451356	16.688341425321916	13.07242279900976	173.15887152020267
48.0	99.4123930689236	258.9557539510971	20.569090942107565	16.141354731103725	213.81030991874965	80.96822259516999	210.91120011240187	16.752868355419146	13.146618469887295	174.14167622583165
49.0	100.28433978517936	261.2270564752868	20.712135466339436	16.28293065357395	215.68564147329764	81.42647352208104	212.10488140920722	16.81734310410136	13.221023587184895	175.12725528372113
50.0	101.09458873117238	263.3376447049881	20.84459731004708	16.414488855263237	217.42827710358569	81.82181695193503	213.13469723786835	16.870762787064663	13.285214563228095	175.9775366083324
51.0	101.8925285369117	265.4161692995983	20.974614971650382	16.5440484510128	219.144438961226	82.20364272184645	214.129301402128	16.921650489154686	13.347210708852957	176.79874494744888
52.0	102.67706937460547	267.4597914060449	21.10203362817063	16.67143248806613	220.83178310890102	82.57086241469432	215.0858587235193	16.96983684862427	13.406835300350265	177.58853939774076
53.0	103.44115693257775	269.4501355025017	21.225736085792924	16.795495574549754	222.4751375492458	82.91642334114161	215.98599790618798	17.014138000835427	13.462943209261857	178.33175145107379
54.0	104.18486724532563	271.3873996484851	21.345767601874822	16.916250056004806	224.07466581277075	83.24040337791408	216.82992180840557	17.054591060785647	13.515547080247185	179.0285486001152
55.0	104.90854669222485	273.2724861151268	21.462215597613884	17.03375217322987	225.63111287180163	83.54315097484327	217.61853809455943	17.09127782683296	13.56470349027984	179.67968027020495
56.0	105.61305699757591	275.1076395769494	21.575248319288843	17.148141842358	227.14633207212438	83.82553016335744	218.35409744892578	17.124365870897808	13.610552730095728	180.28700476916313
57.0	106.29895574769094	276.8943124704086	21.6849828342254	17.25950959735764	228.6215226374828	84.0881010821167	219.03805895647938	17.15396934713463	13.653185748081992	180.85172681017312
58.0	106.9669610461537	278.6343753576063	21.791559864772005	17.367972035006318	230.05822902269844	84.33158464091558	219.67230048911955	17.180227962171124	13.692719596653966	181.375396883489
59.0	107.60791496020167	280.303973070088	21.89354863891711	17.472042203458702	231.43675488628185	84.54682597579652	220.23297487221075	17.201616139962915	13.7276678222409	181.83832524782596
60.0	108.27107939568202	282.0314261680564	21.99879194935476	17.579718641654082	232.8630498289943	84.78309033281619	220.848411366747	17.226442882672117	13.766029506123976	182.34646868787075
